1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,26,25,1,1
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
1,11,-1,-1,7,7,7,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,10,1
1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,16,1
1,1,7,7,7,7,7,7,19,3,-1,-1,-1,8,9,-1,-1,-1,-1,-1,10,1
1,1,13,13,13,13,13,13,25,9,-1,-1,-1,-1,-1,-1,4,12,-1,-1,16,1
1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,-1,-1,6,12,-1,-1,10,1
1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,9,-1,-1,-1,10,23,-1,-1,16,1
1,11,-1,-1,0,5,4,-1,-1,-1,-1,-1,-1,-1,-1,2,9,-1,-1,-1,10,1
1,17,-1,-1,-1,12,6,0,-1,-1,-1,-1,-1,18,19,9,-1,-1,-1,-1,16,1
1,11,-1,-1,-1,12,6,-1,-1,-1,-1,-1,24,13,27,-1,-1,2,-1,-1,10,1
1,1,-1,0,2,12,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,16,1
1,1,13,13,25,12,6,20,7,21,-1,-1,18,7,7,19,1,26,-1,-1,10,1
1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,1
1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,1
1,1,20,19,20,19,20,19,20,19,20,19,20,19,20,19,20,19,20,19,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
