1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,14,13,14,14,13,1,1,1,1,1,1,1,1,1,1,1,
1,1,0,0,0,0,0,0,0,0,0,25,1,18,0,0,0,0,0,0,1,1,
1,1,0,1,1,1,17,17,10,11,0,24,1,19,0,1,1,1,0,0,1,1,
1,1,0,1,0,0,0,0,0,0,0,23,1,20,0,0,1,1,0,0,1,1,
1,1,0,1,0,0,0,0,0,0,0,22,1,21,0,0,4,1,0,0,1,1,
1,1,0,1,1,0,0,16,17,1,0,0,1,10,11,0,0,1,2,0,1,1,
1,1,0,1,0,0,25,1,13,12,0,0,15,14,1,18,0,0,0,0,1,1,
1,1,0,1,0,0,24,20,0,0,0,0,0,0,23,19,0,1,1,0,1,1,
1,1,0,0,0,0,1,21,0,0,0,0,0,0,22,1,0,1,3,0,1,1,
1,1,0,0,1,1,1,0,0,0,1,0,6,0,0,1,0,1,0,0,1,1,
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,1,
1,1,0,0,0,0,0,0,16,17,1,10,11,0,0,0,0,0,0,0,1,1,
1,1,0,1,1,18,25,1,13,12,0,15,14,1,1,0,0,1,1,0,1,1,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
