{	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	},
{	1,	1,	13,	14,	13,	14,	13,	14,	13,	14,	13,	14,	13,	14,	13,	14,	13,	14,	13,	14,	1,	1,	},
{	1,	20,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	23,	1,	},
{	1,	19,	0,	0,	6,	6,	6,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	24,	1,	},
{	1,	20,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	2,	0,	0,	0,	0,	0,	23,	1,	},
{	1,	1,	6,	6,	6,	6,	6,	6,	17,	2,	0,	0,	0,	4,	3,	0,	0,	0,	0,	0,	24,	1,	},
{	1,	1,	7,	7,	7,	7,	7,	7,	14,	3,	0,	0,	0,	0,	0,	0,	25,	8,	0,	0,	23,	1,	},
{	1,	19,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	2,	0,	0,	0,	9,	8,	0,	0,	24,	1,	},
{	1,	20,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	3,	0,	0,	0,	24,	21,	0,	0,	23,	1,	},
{	1,	19,	0,	0,	0,	18,	25,	0,	0,	0,	0,	0,	0,	0,	0,	5,	3,	0,	0,	0,	24,	1,	},
{	1,	20,	0,	0,	0,	8,	9,	0,	0,	0,	0,	0,	0,	16,	17,	3,	0,	0,	0,	0,	23,	1,	},
{	1,	19,	0,	0,	0,	8,	9,	0,	0,	0,	0,	0,	15,	7,	12,	0,	0,	5,	0,	0,	24,	1,	},
{	1,	1,	0,	0,	5,	8,	9,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	1,	0,	0,	23,	1,	},
{	1,	1,	7,	7,	14,	8,	9,	10,	6,	11,	0,	0,	16,	6,	6,	17,	1,	13,	0,	0,	24,	1,	},
{	1,	20,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	23,	1,	},
{	1,	19,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	24,	1,	},
{	1,	1,	10,	17,	10,	17,	10,	17,	10,	17,	10,	17,	10,	17,	10,	17,	10,	17,	10,	17,	1,	1,	},
{	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	1,	},
